source,concurrency,tps_gpu,tps_user,tpot_ms,ttft_ms
hardware,4,99.7508,104.3898,9.5795,121.5117
mocker,4,109.7292,111.3212,9.0633,59.2085
aic,4,109.9200,111.1600,8.9960,83.4580
hardware,8,191.0668,98.8172,10.1197,100.6601
mocker,8,171.5396,87.5424,11.5925,76.8415
aic,8,172.1300,86.7900,11.5220,91.7940
hardware,16,314.8369,81.2289,12.3109,117.0182
mocker,16,294.0341,75.8725,13.5072,107.1406
aic,16,295.4700,74.3800,13.4440,108.6110
hardware,32,474.6351,61.2910,16.3156,146.0999
mocker,32,465.2652,60.8548,17.0569,148.0492
aic,32,469.7000,59.0200,16.9440,142.4820
hardware,64,747.1002,48.4551,20.6377,220.4310
mocker,64,716.7154,47.8000,22.1114,216.6858
aic,64,733.5000,46.0100,21.7330,167.7540
